market,f_stage,f_stage_label,action,score,price,entry,stop,targets,rr,reason
KRW-UNI,F2,매물대 도착,확인 대기,9.8,9330.0,"[8953.8401, 9410.6687]",8679.7429,[11143.4941],3.9,업비트 신고가 흐름 + 바이낸스 2024-09-19~2024-11-02 과거 횡보 매물대
KRW-MINA,F2,매물대 도착,확인 대기,9.8,110.0,"[99.1069, 104.1634]",96.073,[123.6449],3.96,업비트 신고가 흐름 + 바이낸스 2025-12-18~2026-01-31 과거 횡보 매물대
KRW-RAY,F2,매물대 도착,확인 대기,9.3,1590.0,"[1358.9923, 1428.3287]",1317.3905,[1728.2703],4.39,업비트 신고가 흐름 + 바이낸스 2024-01-08~2024-02-21 과거 횡보 매물대
KRW-EGLD,F2,매물대 도착,확인 대기,9.0,6420.0,"[5449.9635, 5728.0228]",5283.1278,[6720.7886],3.7,업비트 신고가 흐름 + 바이낸스 2026-02-01~2026-03-17 과거 횡보 매물대
KRW-PENDLE,F2,매물대 도착,확인 대기,8.9,3043.0,"[2862.6405, 3008.6936]",2775.0087,[3830.0063],5.57,업비트 신고가 흐름 + 바이낸스 2025-11-03~2025-12-17 과거 횡보 매물대
KRW-INJ,F2,매물대 도착,확인 대기,8.7,8210.0,"[5903.8969, 6205.1161]",5723.1654,[8073.2331],6.09,업비트 신고가 흐름 + 바이낸스 2025-11-18~2026-01-16 과거 횡보 매물대
KRW-LINK,F2,매물대 도착,확인 대기,8.6,17350.0,"[16197.3982, 17023.796]",15701.5595,[19244.5089],2.9,업비트 신고가 흐름 + 바이낸스 2025-12-08~2026-01-21 과거 횡보 매물대
KRW-KAVA,F2,매물대 도착,확인 대기,8.4,79.7,"[68.6532, 72.1559]",66.5515,[83.4139],3.38,업비트 신고가 흐름 + 바이낸스 2026-03-18~2026-05-01 과거 횡보 매물대
KRW-TIA,F2,매물대 도착,확인 대기,8.4,583.0,"[463.4855, 487.1328]",449.2972,[629.6291],5.93,업비트 신고가 흐름 + 바이낸스 2026-04-22~2026-06-05 과거 횡보 매물대
KRW-JUP,F3,매물대 돌파,진입 검토,8.6,346.0,"[310.5678, 319.9789]",299.5881,[356.6078],2.64,업비트 신고가 흐름 + 바이낸스 2025-12-06~2026-01-19 과거 횡보 매물대
