market,status,score,lower_reclaim_level,upper_break_level,aggressive_entry_zone,confirmation_entry_zone,hard_stop,targets,first_target_rr,candle_end_time
KRW-POWR,선매수감시,5,80.05,86.5,"[80.05, 82.674625]","[86.5, 87.7975]",78.84925,"[86.5, 123.0, 153.75]",2.04,2026-09-17T05:00:00+09:00
KRW-XRP,준비,4,2338.6,2551.2,[],"[2551.2, 2589.468]",1688.29,"[2551.2, 2666.004, 3332.505]",0.33,2026-09-17T05:00:00+09:00
KRW-ELF,준비,4,103.0,111.24,[],"[111.24, 112.9086]",92.984,"[111.24, 119.0, 148.75]",0.82,2026-09-17T05:00:00+09:00
KRW-G,준비,3,7.216,7.872,[],"[7.872, 7.99008]",5.44705,"[7.872, 8.22624, 10.2828]",0.37,2026-09-17T05:00:00+09:00
KRW-ONDO,준비,3,568.5,613.98,[],"[613.98, 623.1897]",436.355,"[613.98, 641.6091, 802.011375]",0.34,2026-09-17T05:00:00+09:00
KRW-ADA,준비,3,341.0,368.28,[],"[368.28, 373.8042]",256.1,"[368.28, 384.8526, 481.06575]",0.32,2026-09-17T05:00:00+09:00
KRW-HBAR,제외,2,122.0,131.76,[],"[131.76, 133.7364]",97.121,"[131.76, 137.6892, 172.1115]",0.39,2026-09-17T05:00:00+09:00
KRW-APT,제외,2,958.0,1034.64,[],"[1034.64, 1050.1596]",708.215,"[1034.64, 1081.1988, 1351.4985]",0.31,2026-09-17T05:00:00+09:00
KRW-ETH,제외,2,3971000.0,4332000.0,[],"[4332000.0, 4396980.0]",3201250.0,"[4332000.0, 4526940.0, 5658675.0]",0.47,2026-09-17T05:00:00+09:00
KRW-MANTRA,제외,2,9.715,10.4922,[],"[10.4922, 10.649583]",5.52585,"[10.4922, 10.964349, 13.70543625]",0.19,2026-09-17T05:00:00+09:00
KRW-RAY,제외,2,2630.1,2869.2,[],"[2869.2, 2912.238]",1773.0,"[2869.2, 2998.314, 3747.8925]",0.28,2026-09-17T05:00:00+09:00
KRW-SOL,제외,2,167970.0,183240.0,[],"[183240.0, 185988.6]",129724.5,"[183240.0, 191485.8, 239357.25]",0.4,2026-09-17T05:00:00+09:00
KRW-VTHO,제외,2,1.199,1.308,[],"[1.308, 1.32762]",0.89241,"[1.308, 1.6, 2.0]",0.36,2026-09-17T05:00:00+09:00
KRW-SUI,제외,2,1226.5,1324.62,[],"[1324.62, 1344.4893]",916.05,"[1324.62, 1384.2279, 1730.284875]",0.32,2026-09-17T05:00:00+09:00
KRW-BTC,제외,2,123689500.00000001,134934000.0,[],"[134934000.0, 136958010.0]",101462880.0,"[134934000.0, 141006030.0, 176257537.5]",0.51,2026-09-17T05:00:00+09:00
KRW-IOST,제외,1,3.036,3.312,[],"[3.312, 3.36168]",1.09335,"[3.312, 3.46104, 4.3263]",0.14,2026-09-17T05:00:00+09:00
KRW-VIRTUAL,제외,1,1261.7,1376.4,[],"[1376.4, 1397.046]",778.15,"[1376.4, 1438.338, 1797.9225]",0.24,2026-09-17T05:00:00+09:00
KRW-NEAR,제외,1,3848.0,4155.84,[],"[4155.84, 4218.1776]",3270.2,"[4155.84, 4342.8528, 5428.566]",0.53,2026-09-17T05:00:00+09:00
KRW-INJ,제외,1,9365.0,10114.2,[],"[10114.2, 10265.913]",7096.925,"[10114.2, 10569.339, 13211.67375]",0.33,2026-09-17T05:00:00+09:00
KRW-MTL,제외,1,523.6,571.2,[],"[571.2, 579.768]",371.345,"[571.2, 596.904, 746.13]",0.31,2026-09-17T05:00:00+09:00
KRW-LINK,제외,1,20504.0,22368.0,[],"[22368.0, 22703.52]",14341.6,"[22368.0, 23374.56, 29218.2]",0.3,2026-09-17T05:00:00+09:00
KRW-SOPH,제외,1,17.93,19.56,[],"[19.56, 19.8534]",5.07275,"[19.56, 20.4402, 25.55025]",0.13,2026-09-17T05:00:00+09:00
KRW-STX,제외,1,444.4,484.8,[],"[484.8, 492.072]",308.305,"[484.8, 506.616, 633.27]",0.3,2026-09-17T05:00:00+09:00
KRW-FLOCK,제외,1,128.7,140.4,[],"[140.4, 142.506]",83.725,"[140.4, 146.718, 183.3975]",0.26,2026-09-17T05:00:00+09:00
KRW-DRV,제외,0,335.5,366.0,[],"[366.0, 371.49]",230.49,"[366.0, 382.47, 478.0875]",0.29,2026-09-17T05:00:00+09:00
KRW-STEEM,선매수감시,6,72.8,79.4,"[74.8, 75.554]","[79.4, 80.591]",71.708,"[79.4, 119.0, 148.75]",1.22,2026-09-17T05:00:00+09:00
KRW-ZIL,제외,2,4.27,4.6116,[],"[4.6116, 4.680774]",3.65435,"[4.6116, 4.819122, 6.0239025]",0.55,2026-09-17T05:00:00+09:00
KRW-FOLD,자료부족,0,,,,,,,,
KRW-GEOD,자료부족,0,,,,,,,,
KRW-BFC,자료부족,0,,,,,,,,
KRW-CP,자료부족,0,,,,,,,,
KRW-CAP,자료부족,0,,,,,,,,
KRW-USDT,오류,0,,,,,,,,
KRW-PUNDIX,오류,0,,,,,,,,
KRW-LSK,오류,0,,,,,,,,
KRW-DOGE,오류,0,,,,,,,,
KRW-SHIB,오류,0,,,,,,,,
KRW-UNI,오류,0,,,,,,,,
KRW-WLD,오류,0,,,,,,,,
KRW-TRUMP,오류,0,,,,,,,,
KRW-ARB,오류,0,,,,,,,,
KRW-ARK,오류,0,,,,,,,,
KRW-CVC,오류,0,,,,,,,,
KRW-LA,오류,0,,,,,,,,
KRW-XLM,오류,0,,,,,,,,
KRW-HIVE,오류,0,,,,,,,,
KRW-CPOOL,오류,0,,,,,,,,
KRW-ENA,오류,0,,,,,,,,
KRW-ASTR,오류,0,,,,,,,,
